Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
Detroit Pistons*,42,40,.512,14.0,103.5,102.0,1.13,2000,Eastern,
Milwaukee Bucks*,42,40,.512,14.0,101.2,101.0,-0.06,2000,Eastern,
Cleveland Cavaliers,32,50,.390,24.0,97.0,100.5,-3.64,2000,Eastern,
Atlanta Hawks,28,54,.341,28.0,94.3,99.7,-5.41,2000,Eastern,
Chicago Bulls,17,65,.207,39.0,84.8,94.2,-9.23,2000,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2000,Western,Midwest Division
,55,27,.671,—,96.5,92.0,4.52,2000,Western,Utah Jazz*
,53,29,.646,2.0,96.2,90.2,5.92,2000,Western,San Antonio Spurs*
,50,32,.610,5.0,98.5,96.0,2.67,2000,Western,Minnesota Timberwolves*
,40,42,.488,15.0,101.4,102.0,-0.29,2000,Western,Dallas Mavericks
,35,47,.427,20.0,99.0,101.1,-1.76,2000,Western,Denver Nuggets
,34,48,.415,21.0,99.5,100.3,-0.57,2000,Western,Houston Rockets
,22,60,.268,33.0,93.9,99.5,-5.10,2000,Western,Vancouver Grizzlies
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2000,Western,Pacific Division
,67,15,.817,—,100.8,92.3,8.41,2000,Western,Los Angeles Lakers*
,59,23,.720,8.0,97.5,91.0,6.36,2000,Western,Portland Trail Blazers*
,53,29,.646,14.0,98.9,93.7,5.24,2000,Western,Phoenix Suns*
,45,37,.549,22.0,99.1,98.1,1.17,2000,Western,Seattle SuperSonics*
,44,38,.537,23.0,105.0,102.0,3.04,2000,Western,Sacramento Kings*
,19,63,.232,48.0,95.5,103.8,-7.63,2000,Western,Golden State Warriors
,15,67,.183,52.0,92.0,103.5,-10.73,2000,Western,Los Angeles Clippers
Philadelphia 76ers*,56,26,.683,—,94.7,90.4,3.64,2001,Eastern,
Miami Heat*,50,32,.610,6.0,88.9,86.6,1.73,2001,Eastern,
New York Knicks*,48,34,.585,8.0,88.7,86.1,1.98,2001,Eastern,
Orlando Magic*,43,39,.524,13.0,97.5,96.5,0.39,2001,Eastern,
Boston Celtics,36,46,.439,20.0,94.6,96.8,-2.40,2001,Eastern,
New Jersey Nets,26,56,.317,30.0,92.1,97.1,-5.30,2001,Eastern,
Washington Wizards,19,63,.232,37.0,93.2,99.9,-6.75,2001,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2001,Eastern,
Milwaukee Bucks*,52,30,.634,—,100.7,96.9,3.14,2001,Eastern,
